,winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
94,Vega Sicilia,Unico,1964,4.7,214,Espana,Ribera del Duero,1384.54,Ribera Del Duero Red,5.0,3.0
95,Vega Sicilia,Unico,1982,4.7,205,Espana,Ribera del Duero,820.98,Ribera Del Duero Red,5.0,3.0
96,Dominio de Pingus,Pingus,2015,4.7,203,Espana,Ribera del Duero,1250.0,Ribera Del Duero Red,5.0,3.0
97,Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,196,Espana,Ribera del Duero,1500.0,Ribera Del Duero Red,5.0,3.0
98,Dominio de Pingus,Pingus,1999,4.7,184,Espana,Ribera del Duero,1715.18,Ribera Del Duero Red,5.0,3.0
99,Vega Sicilia,Unico,1974,4.7,173,Espana,Ribera del Duero,932.3,Ribera Del Duero Red,5.0,3.0
100,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,171,Espana,Priorato,1372.14,Priorat Red,4.0,3.0
101,Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,137,Espana,Toro,78.9,Toro Red,5.0,3.0
102,Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,136,Espana,Ribera del Duero,660.96,Ribera Del Duero Red,5.0,3.0
103,Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,134,Espana,Ribera del Duero,154.0,Ribera Del Duero Red,5.0,3.0
104,Vega Sicilia,Valbuena 5o,2017,4.7,133,Espana,Ribera del Duero,134.89,Ribera Del Duero Red,5.0,3.0
105,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,132,Espana,Priorato,1422.96,Priorat Red,4.0,3.0
106,Bodega Numanthia,Termanthia,2005,4.7,131,Espana,Toro,207.11,Toro Red,5.0,3.0
107,Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,131,Espana,Ribera del Duero,340.49,Ribera Del Duero Red,5.0,3.0
108,Emilio Moro,Clon De La Familia,2010,4.7,127,Espana,Ribera del Duero,317.63,Ribera Del Duero Red,5.0,3.0
109,Alto Moncayo,Aquilon Garnacha,2011,4.7,123,Espana,Campo de Borja,108.9,Grenache,5.0,3.0
110,Vega Sicilia,Unico,1983,4.7,118,Espana,Ribera del Duero,700.0,Ribera Del Duero Red,5.0,3.0
111,Toro Albala,Don PX Convento Seleccion,1955,4.7,117,Espana,Montilla-Moriles,185.0,Pedro Ximenez,5.0,1.0
112,Vega Sicilia,Unico,1980,4.7,116,Espana,Ribera del Duero,911.43,Ribera Del Duero Red,5.0,3.0
113,Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,112,Espana,Rioja,1150.0,Rioja Red,4.0,3.0
114,Vega Sicilia,Unico,1972,4.7,110,Espana,Ribera del Duero,698.95,Ribera Del Duero Red,5.0,3.0
115,Bodega Numanthia,Termanthia,2004,4.7,108,Espana,Toro,2814.16,Toro Red,5.0,3.0
116,Teso La Monja,Tinto,2010,4.7,102,Espana,Toro,1325.0,Toro Red,5.0,3.0
117,Alvaro Palacios,Quinon de Valmira,2015,4.7,102,Espana,Rioja,527.26,Rioja Red,4.0,3.0
118,Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,100,Espana,Ribera del Duero,1071.45,Ribera Del Duero Red,5.0,3.0
119,Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,94,Espana,Priorato,299.0,Priorat Red,4.0,3.0
120,Finca Moncloa,Tintilla de Rota,2016,4.7,92,Espana,Cadiz,43.13,,,
121,Vega Sicilia,Unico,1953,4.7,89,Espana,Ribera del Duero,1207.6,Ribera Del Duero Red,5.0,3.0
122,Bodegas Roda,Cirsion Rioja,2000,4.7,87,Espana,Rioja,175.0,Rioja Red,4.0,3.0
123,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,82,Espana,Priorato,1252.35,Priorat Red,4.0,3.0
124,Bodegas El Nido,El Nido,2019,4.7,80,Espana,Jumilla,145.9,Red,4.0,3.0
125,Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,74,Espana,Priorato,447.95,Priorat Red,4.0,3.0
126,Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,72,Espana,Ribera del Duero,813.96,Ribera Del Duero Red,5.0,3.0
127,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,67,Espana,Priorato,1410.26,Priorat Red,4.0,3.0
128,Martinet,Cami Pesseroles,2006,4.7,65,Espana,Priorato,182.9,Priorat Red,4.0,3.0
129,Recaredo,Turo d'en Mota,2007,4.7,64,Espana,Cava,99.0,Cava,2.0,3.0
130,Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,63,Espana,Ribera del Duero,1113.2,Ribera Del Duero Red,5.0,3.0
131,Clos Erasmus,Priorat,2007,4.7,60,Espana,Priorato,654.31,Priorat Red,4.0,3.0
132,Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,59,Espana,Ribera del Duero,134.26,Ribera Del Duero Red,5.0,3.0
133,Barbadillo,Reliquia Palo Cortado Sherry,N.V.,4.7,58,Espana,Jerez Palo Cortado,380.0,Sherry,4.0,3.0
134,La Rioja Alta,Gran Reserva 890,1982,4.7,57,Espana,Rioja,292.09,Rioja Red,4.0,3.0
135,Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,53,Espana,Jerez Palo Cortado,400.85,Sherry,4.0,3.0
136,Clos Erasmus,Daphne Glorian Red,2007,4.7,51,Espana,Priorato,202.01,Red,4.0,3.0
137,Toro Albala,Don PX Pedro Ximenez,1955,4.7,50,Espana,Montilla-Moriles,250.0,Pedro Ximenez,5.0,1.0
138,Vinedos de Paganos,La Nieta,2019,4.7,49,Espana,Rioja,88.9,Rioja Red,4.0,3.0
139,Bodegas Amaren,El Regollar,2016,4.7,49,Espana,Rioja,77.9,Rioja Red,4.0,3.0
140,Toro Albala,Don PX Convento Seleccion,1958,4.7,47,Espana,Montilla-Moriles,191.61,Pedro Ximenez,5.0,1.0
141,Teso La Monja,Alabaster,2018,4.7,45,Espana,Toro,123.89,Toro Red,5.0,3.0
142,Alvear,Abuelo Diego Palo Cortado,N.V.,4.7,42,Espana,Montilla-Moriles,114.28,Pedro Ximenez,5.0,1.0
143,Equipo Navazos,La Bota 78 de Oloroso,N.V.,4.7,41,Espana,Manzanilla,95.57,Sherry,4.0,3.0
144,Morca,Touran,2018,4.7,41,Espana,Campo de Borja,93.95,Grenache,5.0,3.0
145,Territorio Luthier,Luthier Gran Reserva,2012,4.7,40,Espana,Ribera del Duero,248.0,Ribera Del Duero Red,5.0,3.0
146,Artadi,Vina El Pison,1995,4.7,39,Espana,Vino de Espana,397.0,Tempranillo,4.0,2.0
147,Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,37,Espana,Valdeorras,194.86,,,
148,Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,35,Espana,Cava,65.05,Cava,2.0,3.0
149,Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,33,Espana,Castilla y Leon,86.9,Tempranillo,4.0,2.0
150,Vina Sastre,Pesus Ribera del Duero,2004,4.7,32,Espana,Ribera del Duero,472.5,Ribera Del Duero Red,5.0,3.0
151,Terra Remota,Usted,2010,4.7,31,Espana,Emporda,379.0,Red,4.0,3.0
152,Dehesa de Los Canonigos,Gran Reserva,2001,4.7,31,Espana,Ribera del Duero,185.15,Ribera Del Duero Red,5.0,3.0
153,Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,30,Espana,Ribera del Duero,94.2,Ribera Del Duero Red,5.0,3.0
154,Miguel Merino,La Loma,2018,4.7,29,Espana,Rioja Alta,46.0,Rioja Red,4.0,3.0
155,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,28,Espana,Priorato,919.6,Priorat Red,4.0,3.0
156,Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,27,Espana,Alicante,81.9,,,
157,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,27,Espana,Rioja,680.0,Rioja Red,4.0,3.0
158,Vega Sicilia,Valbuena 5o,2011,4.6,6803,Espana,Ribera del Duero,218.0,Ribera Del Duero Red,5.0,3.0
159,Vega Sicilia,Valbuena 5o,2012,4.6,5938,Espana,Ribera del Duero,177.0,Ribera Del Duero Red,5.0,3.0
160,Vega Sicilia,Valbuena 5o,2008,4.6,5545,Espana,Ribera del Duero,187.3,Ribera Del Duero Red,5.0,3.0
161,Vega Sicilia,Valbuena 5o,2007,4.6,5116,Espana,Ribera del Duero,195.59,Ribera Del Duero Red,5.0,3.0
162,Vega Sicilia,Valbuena 5o,2013,4.6,4747,Espana,Ribera del Duero,135.0,Ribera Del Duero Red,5.0,3.0
163,Vega Sicilia,Valbuena 5o,2009,4.6,4685,Espana,Ribera del Duero,225.2,Ribera Del Duero Red,5.0,3.0
164,Alion,Ribera del Duero,2016,4.6,4516,Espana,Ribera del Duero,79.8,Ribera Del Duero Red,5.0,3.0
165,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383,Espana,Ribera del Duero,116.187943627787,Ribera Del Duero Red,5.0,3.0
166,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239,Espana,Ribera del Duero,89.3,Ribera Del Duero Red,5.0,3.0
167,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416,Espana,Rioja,438.9,Rioja Red,4.0,3.0
168,Alion,Ribera del Duero,2017,4.6,2208,Espana,Ribera del Duero,79.9,Ribera Del Duero Red,5.0,3.0
169,Vega Sicilia,Valbuena 5o,2004,4.6,1608,Espana,Ribera del Duero,249.0,Ribera Del Duero Red,5.0,3.0
170,Dominio de Pingus,Flor de Pingus,2018,4.6,1363,Espana,Ribera del Duero,129.95,Ribera Del Duero Red,5.0,3.0
171,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108,Espana,Ribera del Duero,76.95,Ribera Del Duero Red,5.0,3.0
172,Vega Sicilia,Valbuena 5o,2000,4.6,1015,Espana,Ribera del Duero,252.0,Ribera Del Duero Red,5.0,3.0
173,Vega Sicilia,Valbuena 5o,2002,4.6,936,Espana,Ribera del Duero,232.0,Ribera Del Duero Red,5.0,3.0
174,Bodega Numanthia,Termanthia,2012,4.6,840,Espana,Toro,214.0,Toro Red,5.0,3.0
175,Bodega Numanthia,Termanthia,2011,4.6,790,Espana,Toro,205.0,Toro Red,5.0,3.0
176,Carmelo Rodero,Pago De Valtarrena,2015,4.6,700,Espana,Ribera del Duero,49.95,Ribera Del Duero Red,5.0,3.0
177,Emilio Moro,Malleolus de Sanchomartin,2011,4.6,693,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
178,Vega Sicilia,Valbuena 5o,1999,4.6,595,Espana,Ribera del Duero,276.8,Ribera Del Duero Red,5.0,3.0
179,Emilio Moro,Malleolus de Valderramiro,2015,4.6,516,Espana,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0
180,Dominio de Pingus,Pingus,2010,4.6,410,Espana,Ribera del Duero,1359.75,Ribera Del Duero Red,5.0,3.0
181,Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,405,Espana,Ribera del Duero,81.5,Ribera Del Duero Red,5.0,3.0
182,Dominio de Pingus,Pingus,2012,4.6,400,Espana,Ribera del Duero,890.0,Ribera Del Duero Red,5.0,3.0
183,Dominio del Bendito,El Titan del Bendito,2015,4.6,388,Espana,Toro,43.5,Toro Red,5.0,3.0
184,Emilio Moro,Malleolus de Sanchomartin,2015,4.6,369,Espana,Ribera del Duero,99.0,Ribera Del Duero Red,5.0,3.0
185,Dominio de Pingus,Pingus,2013,4.6,323,Espana,Ribera del Duero,1198.72,Ribera Del Duero Red,5.0,3.0
186,Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,4.6,313,Espana,Castilla y Leon,94.95,Tempranillo,4.0,2.0
187,Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,4.6,304,Espana,Castilla y Leon,89.0,Tempranillo,4.0,2.0
188,Dominio de Pingus,Pingus,2005,4.6,293,Espana,Ribera del Duero,1785.96,Ribera Del Duero Red,5.0,3.0
189,Vinedos de Paganos,La Nieta,2017,4.6,286,Espana,Rioja,108.21,Rioja Red,4.0,3.0
190,Artadi,Vina El Pison,2006,4.6,274,Espana,Vino de Espana,391.5,Tempranillo,4.0,2.0
191,Dominio de Pingus,Pingus,1998,4.6,244,Espana,Ribera del Duero,1350.0,Ribera Del Duero Red,5.0,3.0
192,Bodegas Roda,Cirsion Rioja,2007,4.6,242,Espana,Rioja,145.0,Rioja Red,4.0,3.0
193,Bodegas Roda,Cirsion Rioja,2012,4.6,231,Espana,Rioja,173.38,Rioja Red,4.0,3.0
194,Bodega Contador (Benjamin Romeo),Contador Rioja,2011,4.6,225,Espana,Rioja,220.0,Rioja Red,4.0,3.0
195,Marques de Murrieta,Dalmau Rioja,2017,4.6,222,Espana,Rioja,85.7,Rioja Red,4.0,3.0
196,Vega Sicilia,Unico,1965,4.6,218,Espana,Ribera del Duero,2884.04,Ribera Del Duero Red,5.0,3.0
197,Sierra Cantabria,Finca el Bosque,2015,4.6,214,Espana,Rioja,79.9,Rioja Red,4.0,3.0
198,Vina Sastre,Pago de Santa Cruz,2018,4.6,211,Espana,Ribera del Duero,68.7,Ribera Del Duero Red,5.0,3.0
199,Dominio de Pingus,Pingus,2003,4.6,205,Espana,Ribera del Duero,1638.95,Ribera Del Duero Red,5.0,3.0
200,Mas d'en Gil,Clos Fonta Priorat,2004,4.6,202,Espana,Priorato,150.0,Priorat Red,4.0,3.0
201,Carmelo Rodero,Pago De Valtarrena,2016,4.6,200,Espana,Ribera del Duero,48.95,Ribera Del Duero Red,5.0,3.0
202,Pago de Los Capellanes,Parcela El Picon Tinto,2014,4.6,197,Espana,Ribera del Duero,109.41,Ribera Del Duero Red,5.0,3.0
203,Emilio Moro,Malleolus de Sanchomartin,2014,4.6,186,Espana,Ribera del Duero,119.0,Ribera Del Duero Red,5.0,3.0
204,Vega Sicilia,Valbuena 5o,1992,4.6,176,Espana,Ribera del Duero,195.0,Ribera Del Duero Red,5.0,3.0
205,Dominio de Pingus,Pingus,2014,4.6,172,Espana,Ribera del Duero,1595.0,Ribera Del Duero Red,5.0,3.0
206,Artadi,Vina El Pison,2010,4.6,169,Espana,Vino de Espana,519.55,Tempranillo,4.0,2.0
207,Pago de Los Capellanes,Parcela El Picon Tinto,2012,4.6,165,Espana,Ribera del Duero,89.0,Ribera Del Duero Red,5.0,3.0
208,Artadi,Vina El Pison,2011,4.6,165,Espana,Vino de Espana,511.9,Tempranillo,4.0,2.0
209,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999,4.6,164,Espana,Priorato,980.0,Priorat Red,4.0,3.0
210,Casa Castillo,Cuvee N Vinas Viejas,2015,4.6,160,Espana,Jumilla,73.0,Red,4.0,3.0
211,Artadi,Vina El Pison,2012,4.6,159,Espana,Vino de Espana,280.0,Tempranillo,4.0,2.0
212,Vega Sicilia,Unico,1973,4.6,157,Espana,Ribera del Duero,932.3,Ribera Del Duero Red,5.0,3.0
213,Bodega Contador (Benjamin Romeo),Contador Rioja,2014,4.6,157,Espana,Rioja,251.99,Rioja Red,4.0,3.0
214,Bodegas San Roman,Cartago Paraje de Pozo,2014,4.6,153,Espana,Toro,61.69,Toro Red,5.0,3.0
215,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1996,4.6,150,Espana,Priorato,1372.14,Priorat Red,4.0,3.0
216,Bodega Numanthia,Termanthia,2014,4.6,147,Espana,Toro,210.5,Toro Red,5.0,3.0
217,Vega Sicilia,Valbuena 5o,1985,4.6,146,Espana,Ribera del Duero,285.0,Ribera Del Duero Red,5.0,3.0
