,winery,wine,year,rating,num_reviews,region,price,latitude,longitude
28,Vega Sicilia,Unico Reserva Especial Edicion,2005.0,4.8,87,Ribera del Duero,813.96,41.66575665,-3.686329463971761
29,Vega Sicilia,Unico Reserva Especial Edicion,2020.0,4.8,84,Ribera del Duero,435.75,41.66575665,-3.686329463971761
30,Ordonez,Vatan Arena Tinta de Toro,2014.0,4.8,79,Toro,369.05,41.5216963,-5.3939824
33,Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999.0,4.8,68,Ribera del Duero,999.0,41.66575665,-3.686329463971761
34,Vina Sastre,Pesus Ribera del Duero,2007.0,4.8,68,Ribera del Duero,360.0,41.66575665,-3.686329463971761
35,Teso La Monja,Tinto,2012.0,4.8,56,Toro,1190.0,41.5216963,-5.3939824
36,Dominio de Pingus,Pingus,2017.0,4.8,52,Ribera del Duero,1150.0,41.66575665,-3.686329463971761
37,Teso La Monja,Tinto,2009.0,4.8,50,Toro,950.0,41.5216963,-5.3939824
38,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008.0,4.8,40,Priorato,1021.21,44.8741121,10.1628956
39,Sierra Cantabria,Magico,2016.0,4.8,40,Rioja,544.5,42.2814642,-2.482804975070473
40,Teso La Monja,Tinto,2011.0,4.8,32,Toro,1295.0,41.5216963,-5.3939824
41,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017.0,4.8,31,Priorato,992.2,44.8741121,10.1628956
42,Teso La Monja,Tinto,2015.0,4.8,28,Toro,1289.44,41.5216963,-5.3939824
43,Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017.0,4.8,26,Bierzo,1098.9,42.65265025,-6.62318404217132
45,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018.0,4.8,26,Priorato,1094.9,44.8741121,10.1628956
47,Vega Sicilia,Valbuena 5o,2010.0,4.7,5266,Ribera del Duero,239.5,41.66575665,-3.686329463971761
48,Vega Sicilia,Valbuena 5o,2014.0,4.7,4350,Ribera del Duero,175.5,41.66575665,-3.686329463971761
49,Vega Sicilia,Valbuena 5o,2006.0,4.7,3929,Ribera del Duero,194.0,41.66575665,-3.686329463971761
50,Vega Sicilia,Unico,2005.0,4.7,3437,Ribera del Duero,381.15,41.66575665,-3.686329463971761
51,Vega Sicilia,Unico,2004.0,4.7,3164,Ribera del Duero,584.43,41.66575665,-3.686329463971761
52,Vega Sicilia,Unico,2000.0,4.7,3127,Ribera del Duero,555.2,41.66575665,-3.686329463971761
53,Vega Sicilia,Unico,2007.0,4.7,2935,Ribera del Duero,445.28,41.66575665,-3.686329463971761
54,Vega Sicilia,Valbuena 5o,2015.0,4.7,2826,Ribera del Duero,189.0,41.66575665,-3.686329463971761
55,Vega Sicilia,Unico,2006.0,4.7,2765,Ribera del Duero,362.25,41.66575665,-3.686329463971761
56,Vega Sicilia,Unico,2008.0,4.7,2480,Ribera del Duero,289.0,41.66575665,-3.686329463971761
57,Vega Sicilia,Unico,2003.0,4.7,2419,Ribera del Duero,325.0,41.66575665,-3.686329463971761
58,Vega Sicilia,Valbuena 5o,2016.0,4.7,2177,Ribera del Duero,107.57,41.66575665,-3.686329463971761
59,Vega Sicilia,Valbuena 5o,2005.0,4.7,1892,Ribera del Duero,234.0,41.66575665,-3.686329463971761
60,Vega Sicilia,Unico,2002.0,4.7,1199,Ribera del Duero,500.94,41.66575665,-3.686329463971761
63,Vega Sicilia,Unico Reserva Especial Edicion,2000.0,4.7,935,Ribera del Duero,877.85,41.66575665,-3.686329463971761
65,Pago de Carraovejas,Cuesta de Las Liebres,2014.0,4.7,685,Ribera del Duero,113.18,41.66575665,-3.686329463971761
68,Vega Sicilia,Unico Reserva Especial Edicion,2017.0,4.7,560,Ribera del Duero,480.06,41.66575665,-3.686329463971761
69,Pago de Carraovejas,El Anejon,2015.0,4.7,543,Ribera del Duero,75.1,41.66575665,-3.686329463971761
70,Bodegas El Nido,El Nido,2014.0,4.7,511,Jumilla,154.9,38.4735408,-1.3285417
71,Bodegas El Nido,El Nido,2013.0,4.7,476,Jumilla,145.0,38.4735408,-1.3285417
74,Bodegas El Nido,El Nido,2016.0,4.7,393,Jumilla,371.78009750522,38.4735408,-1.3285417
75,Bodegas El Nido,El Nido,2008.0,4.7,347,Jumilla,134.19,38.4735408,-1.3285417
76,Vinedos de Paganos,La Nieta,2015.0,4.7,312,Rioja,82.58,42.2814642,-2.482804975070473
78,Vega Sicilia,Unico Reserva Especial Edicion,2007.0,4.7,303,Ribera del Duero,774.4,41.66575665,-3.686329463971761
79,Emilio Moro,Malleolus de Valderramiro,2016.0,4.7,300,Ribera del Duero,84.95,41.66575665,-3.686329463971761
80,Dominio de Pingus,Pingus,2001.0,4.7,295,Ribera del Duero,940.0,41.66575665,-3.686329463971761
82,Emilio Moro,Malleolus de Sanchomartin,2016.0,4.7,291,Ribera del Duero,116.54,41.66575665,-3.686329463971761
84,Dominio de Pingus,Pingus,2006.0,4.7,280,Ribera del Duero,1190.0,41.66575665,-3.686329463971761
85,Bodegas El Nido,El Nido,2017.0,4.7,268,Jumilla,154.85,38.4735408,-1.3285417
86,Teso La Monja,Alabaster,2016.0,4.7,264,Toro,135.0,41.5216963,-5.3939824
87,Quinta de la Quietud,La Mula de la Quietud,2015.0,4.7,256,Toro,63.75,41.5216963,-5.3939824
89,Bodegas Mauro,Terreus Paraje de Cueva Baja,2017.0,4.7,251,Castilla y Leon,66.07,41.8037172,-4.7471726
90,Bodega Contador (Benjamin Romeo),Contador Rioja,2012.0,4.7,243,Rioja,213.9,42.2814642,-2.482804975070473
91,Remirez de Ganuza,Maria Remirez de Ganuza,2006.0,4.7,240,Rioja,234.9,42.2814642,-2.482804975070473
93,Vinedos de Paganos,La Nieta,2018.0,4.7,220,Rioja,89.9,42.2814642,-2.482804975070473
96,Dominio de Pingus,Pingus,2015.0,4.7,203,Ribera del Duero,1250.0,41.66575665,-3.686329463971761
100,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998.0,4.7,171,Priorato,1372.14,44.8741121,10.1628956
101,Bodegas San Roman,Cartago Paraje de Pozo,2015.0,4.7,137,Toro,78.9,41.5216963,-5.3939824
102,Vega Sicilia,Unico Reserva Especial Edicion,2012.0,4.7,136,Ribera del Duero,660.96,41.66575665,-3.686329463971761
103,Pago de Los Capellanes,Parcela El Picon Tinto,2009.0,4.7,134,Ribera del Duero,154.0,41.66575665,-3.686329463971761
104,Vega Sicilia,Valbuena 5o,2017.0,4.7,133,Ribera del Duero,134.89,41.66575665,-3.686329463971761
105,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000.0,4.7,132,Priorato,1422.96,44.8741121,10.1628956
106,Bodega Numanthia,Termanthia,2005.0,4.7,131,Toro,207.11,41.5216963,-5.3939824
107,Vega Sicilia,Unico Reserva Especial Edicion,2011.0,4.7,131,Ribera del Duero,340.49,41.66575665,-3.686329463971761
108,Emilio Moro,Clon De La Familia,2010.0,4.7,127,Ribera del Duero,317.63,41.66575665,-3.686329463971761
109,Alto Moncayo,Aquilon Garnacha,2011.0,4.7,123,Campo de Borja,108.9,41.78654145,-1.5058322706803928
113,Bodega Contador (Benjamin Romeo),Contador Rioja,2005.0,4.7,112,Rioja,1150.0,42.2814642,-2.482804975070473
116,Teso La Monja,Tinto,2010.0,4.7,102,Toro,1325.0,41.5216963,-5.3939824
117,Alvaro Palacios,Quinon de Valmira,2015.0,4.7,102,Rioja,527.26,42.2814642,-2.482804975070473
119,Mas Doix,1902 Centenary Carignan Priorat,2015.0,4.7,94,Priorato,299.0,44.8741121,10.1628956
120,Finca Moncloa,Tintilla de Rota,2016.0,4.7,92,Cadiz,43.13,36.5297438,-6.2928976
122,Bodegas Roda,Cirsion Rioja,2000.0,4.7,87,Rioja,175.0,42.2814642,-2.482804975070473
123,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015.0,4.7,82,Priorato,1252.35,44.8741121,10.1628956
124,Bodegas El Nido,El Nido,2019.0,4.7,80,Jumilla,145.9,38.4735408,-1.3285417
125,Mas Doix,1902 Centenary Carignan Priorat,2013.0,4.7,74,Priorato,447.95,44.8741121,10.1628956
126,Vega Sicilia,Unico Reserva Especial Edicion,2006.0,4.7,72,Ribera del Duero,813.96,41.66575665,-3.686329463971761
127,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005.0,4.7,67,Priorato,1410.26,44.8741121,10.1628956
128,Martinet,Cami Pesseroles,2006.0,4.7,65,Priorato,182.9,44.8741121,10.1628956
129,Recaredo,Turo d'en Mota,2007.0,4.7,64,Cava,99.0,42.31658175,1.6111496867672197
131,Clos Erasmus,Priorat,2007.0,4.7,60,Priorato,654.31,44.8741121,10.1628956
132,Pago de Los Capellanes,Parcela El Picon Tinto,2016.0,4.7,59,Ribera del Duero,134.26,41.66575665,-3.686329463971761
136,Clos Erasmus,Daphne Glorian Red,2007.0,4.7,51,Priorato,202.01,44.8741121,10.1628956
138,Vinedos de Paganos,La Nieta,2019.0,4.7,49,Rioja,88.9,42.2814642,-2.482804975070473
139,Bodegas Amaren,El Regollar,2016.0,4.7,49,Rioja,77.9,42.2814642,-2.482804975070473
141,Teso La Monja,Alabaster,2018.0,4.7,45,Toro,123.89,41.5216963,-5.3939824
144,Morca,Touran,2018.0,4.7,41,Campo de Borja,93.95,41.78654145,-1.5058322706803928
145,Territorio Luthier,Luthier Gran Reserva,2012.0,4.7,40,Ribera del Duero,248.0,41.66575665,-3.686329463971761
147,Rafael Palacios,Sorte O Soro Val do Bibei,2019.0,4.7,37,Valdeorras,194.86,42.34834155,-6.9659982204038755
148,Recaredo,Reserva Particular de Recaredo Brut Nature,2011.0,4.7,35,Cava,65.05,42.31658175,1.6111496867672197
149,Bodegas Mauro,Terreus Paraje de Cueva Baja,2019.0,4.7,33,Castilla y Leon,86.9,41.8037172,-4.7471726
150,Vina Sastre,Pesus Ribera del Duero,2004.0,4.7,32,Ribera del Duero,472.5,41.66575665,-3.686329463971761
151,Terra Remota,Usted,2010.0,4.7,31,Emporda,379.0,42.1893929,3.077661284375413
152,Dehesa de Los Canonigos,Gran Reserva,2001.0,4.7,31,Ribera del Duero,185.15,41.66575665,-3.686329463971761
153,Vina Sastre,Regina Vides Ribera del Duero,1998.0,4.7,30,Ribera del Duero,94.2,41.66575665,-3.686329463971761
154,Miguel Merino,La Loma,2018.0,4.7,29,Rioja Alta,46.0,42.4157318,-2.87947386168831
155,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016.0,4.7,28,Priorato,919.6,44.8741121,10.1628956
159,Vega Sicilia,Valbuena 5o,2012.0,4.6,5938,Ribera del Duero,177.0,41.66575665,-3.686329463971761
160,Vega Sicilia,Valbuena 5o,2008.0,4.6,5545,Ribera del Duero,187.3,41.66575665,-3.686329463971761
161,Vega Sicilia,Valbuena 5o,2007.0,4.6,5116,Ribera del Duero,195.59,41.66575665,-3.686329463971761
162,Vega Sicilia,Valbuena 5o,2013.0,4.6,4747,Ribera del Duero,135.0,41.66575665,-3.686329463971761
163,Vega Sicilia,Valbuena 5o,2009.0,4.6,4685,Ribera del Duero,225.2,41.66575665,-3.686329463971761
164,Alion,Ribera del Duero,2016.0,4.6,4516,Ribera del Duero,79.8,41.66575665,-3.686329463971761
165,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017.0,4.6,3383,Ribera del Duero,116.187943627787,41.66575665,-3.686329463971761
166,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018.0,4.6,3239,Ribera del Duero,89.3,41.66575665,-3.686329463971761
167,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010.0,4.6,2416,Rioja,438.9,42.2814642,-2.482804975070473
168,Alion,Ribera del Duero,2017.0,4.6,2208,Ribera del Duero,79.9,41.66575665,-3.686329463971761
169,Vega Sicilia,Valbuena 5o,2004.0,4.6,1608,Ribera del Duero,249.0,41.66575665,-3.686329463971761
170,Dominio de Pingus,Flor de Pingus,2018.0,4.6,1363,Ribera del Duero,129.95,41.66575665,-3.686329463971761
171,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019.0,4.6,1108,Ribera del Duero,76.95,41.66575665,-3.686329463971761
172,Vega Sicilia,Valbuena 5o,2000.0,4.6,1015,Ribera del Duero,252.0,41.66575665,-3.686329463971761
173,Vega Sicilia,Valbuena 5o,2002.0,4.6,936,Ribera del Duero,232.0,41.66575665,-3.686329463971761
174,Bodega Numanthia,Termanthia,2012.0,4.6,840,Toro,214.0,41.5216963,-5.3939824
175,Bodega Numanthia,Termanthia,2011.0,4.6,790,Toro,205.0,41.5216963,-5.3939824
176,Carmelo Rodero,Pago De Valtarrena,2015.0,4.6,700,Ribera del Duero,49.95,41.66575665,-3.686329463971761
177,Emilio Moro,Malleolus de Sanchomartin,2011.0,4.6,693,Ribera del Duero,125.0,41.66575665,-3.686329463971761
178,Vega Sicilia,Valbuena 5o,1999.0,4.6,595,Ribera del Duero,276.8,41.66575665,-3.686329463971761
179,Emilio Moro,Malleolus de Valderramiro,2015.0,4.6,516,Ribera del Duero,75.0,41.66575665,-3.686329463971761
180,Dominio de Pingus,Pingus,2010.0,4.6,410,Ribera del Duero,1359.75,41.66575665,-3.686329463971761
181,Pago de Carraovejas,Cuesta de Las Liebres,2010.0,4.6,405,Ribera del Duero,81.5,41.66575665,-3.686329463971761
182,Dominio de Pingus,Pingus,2012.0,4.6,400,Ribera del Duero,890.0,41.66575665,-3.686329463971761
183,Dominio del Bendito,El Titan del Bendito,2015.0,4.6,388,Toro,43.5,41.5216963,-5.3939824
184,Emilio Moro,Malleolus de Sanchomartin,2015.0,4.6,369,Ribera del Duero,99.0,41.66575665,-3.686329463971761
185,Dominio de Pingus,Pingus,2013.0,4.6,323,Ribera del Duero,1198.72,41.66575665,-3.686329463971761
186,Bodegas Mauro,Terreus Paraje de Cueva Baja,2015.0,4.6,313,Castilla y Leon,94.95,41.8037172,-4.7471726
187,Bodegas Mauro,Terreus Paraje de Cueva Baja,2016.0,4.6,304,Castilla y Leon,89.0,41.8037172,-4.7471726
189,Vinedos de Paganos,La Nieta,2017.0,4.6,286,Rioja,108.21,42.2814642,-2.482804975070473
190,Artadi,Vina El Pison,2006.0,4.6,274,Vino de Espana,391.5,42.1771554,-8.4341104
191,Dominio de Pingus,Pingus,1998.0,4.6,244,Ribera del Duero,1350.0,41.66575665,-3.686329463971761
192,Bodegas Roda,Cirsion Rioja,2007.0,4.6,242,Rioja,145.0,42.2814642,-2.482804975070473
193,Bodegas Roda,Cirsion Rioja,2012.0,4.6,231,Rioja,173.38,42.2814642,-2.482804975070473
194,Bodega Contador (Benjamin Romeo),Contador Rioja,2011.0,4.6,225,Rioja,220.0,42.2814642,-2.482804975070473
195,Marques de Murrieta,Dalmau Rioja,2017.0,4.6,222,Rioja,85.7,42.2814642,-2.482804975070473
197,Sierra Cantabria,Finca el Bosque,2015.0,4.6,214,Rioja,79.9,42.2814642,-2.482804975070473
198,Vina Sastre,Pago de Santa Cruz,2018.0,4.6,211,Ribera del Duero,68.7,41.66575665,-3.686329463971761
200,Mas d'en Gil,Clos Fonta Priorat,2004.0,4.6,202,Priorato,150.0,44.8741121,10.1628956
201,Carmelo Rodero,Pago De Valtarrena,2016.0,4.6,200,Ribera del Duero,48.95,41.66575665,-3.686329463971761
202,Pago de Los Capellanes,Parcela El Picon Tinto,2014.0,4.6,197,Ribera del Duero,109.41,41.66575665,-3.686329463971761
203,Emilio Moro,Malleolus de Sanchomartin,2014.0,4.6,186,Ribera del Duero,119.0,41.66575665,-3.686329463971761
206,Artadi,Vina El Pison,2010.0,4.6,169,Vino de Espana,519.55,42.1771554,-8.4341104
207,Pago de Los Capellanes,Parcela El Picon Tinto,2012.0,4.6,165,Ribera del Duero,89.0,41.66575665,-3.686329463971761
208,Artadi,Vina El Pison,2011.0,4.6,165,Vino de Espana,511.9,42.1771554,-8.4341104
209,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999.0,4.6,164,Priorato,980.0,44.8741121,10.1628956
210,Casa Castillo,Cuvee N Vinas Viejas,2015.0,4.6,160,Jumilla,73.0,38.4735408,-1.3285417
211,Artadi,Vina El Pison,2012.0,4.6,159,Vino de Espana,280.0,42.1771554,-8.4341104
213,Bodega Contador (Benjamin Romeo),Contador Rioja,2014.0,4.6,157,Rioja,251.99,42.2814642,-2.482804975070473
214,Bodegas San Roman,Cartago Paraje de Pozo,2014.0,4.6,153,Toro,61.69,41.5216963,-5.3939824
216,Bodega Numanthia,Termanthia,2014.0,4.6,147,Toro,210.5,41.5216963,-5.3939824
218,Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2001.0,4.6,145,Ribera del Duero,245.75,41.66575665,-3.686329463971761
220,Bodega Contador (Benjamin Romeo),Contador Rioja,2015.0,4.6,143,Rioja,319.9,42.2814642,-2.482804975070473
221,Artadi,Vina El Pison,2005.0,4.6,142,Vino de Espana,325.0,42.1771554,-8.4341104
222,Nin-Ortiz,Nit de Nin Mas d'en Cacador,2011.0,4.6,139,Priorato,345.0,44.8741121,10.1628956
223,Bodegas Mauro,VS,2018.0,4.6,136,Castilla y Leon,58.9,41.8037172,-4.7471726
224,Remirez de Ganuza,Maria Remirez de Ganuza,2005.0,4.6,136,Rioja,159.0,42.2814642,-2.482804975070473
225,Vinas del Vero,Blecua Somontano,2013.0,4.6,135,Somontano,69.9,42.0883878,0.09940412890672314
227,Teso La Monja,Alabaster,2017.0,4.6,131,Toro,147.85,41.5216963,-5.3939824
228,Bodegas Mauro,Terreus Paraje de Cueva Baja,2018.0,4.6,128,Castilla y Leon,88.05,41.8037172,-4.7471726
229,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1997.0,4.6,127,Priorato,1080.0,44.8741121,10.1628956
230,Marques de Riscal,Frank Gehry Selection,2001.0,4.6,124,Rioja,301.0,42.2814642,-2.482804975070473
231,Artadi,Vina El Pison,2014.0,4.6,124,Vino de Espana,275.0,42.1771554,-8.4341104
233,Arzuaga,Amaya Arzuaga (Coleccion),2016.0,4.6,123,Ribera del Duero,64.9,41.66575665,-3.686329463971761
236,Artadi,Vina El Pison,2015.0,4.6,122,Vino de Espana,241.55,42.1771554,-8.4341104
237,Bodegas Mas Alta,La Creu Alta,2013.0,4.6,116,Priorato,89.17,44.8741121,10.1628956
239,Dominio de Calogia,Tinto,2019.0,4.6,114,Ribera del Duero,67.94,41.66575665,-3.686329463971761
240,Tomas Postigo,5o Ano Ribera del Duero Tinto,2016.0,4.6,113,Ribera del Duero,44.0,41.66575665,-3.686329463971761
241,Artadi,Vina El Pison,2009.0,4.6,113,Vino de Espana,445.0,42.1771554,-8.4341104
242,Cal Pla,Planots Priorat,2010.0,4.6,112,Priorato,87.02,44.8741121,10.1628956
243,Vega Sicilia,Unico Reserva Especial Edicion,2009.0,4.6,111,Ribera del Duero,747.17,41.66575665,-3.686329463971761
244,Dominio del Bendito,El Titan del Bendito,2018.0,4.6,111,Toro,49.95,41.5216963,-5.3939824
245,Ossian,Capitel,2018.0,4.6,107,Castilla y Leon,50.51,41.8037172,-4.7471726
246,Arzuaga,Gran Arzuaga Ribera del Duero,2004.0,4.6,105,Ribera del Duero,157.4,41.66575665,-3.686329463971761
247,Alto Moncayo,Aquilon Garnacha,2015.0,4.6,105,Campo de Borja,120.9,41.78654145,-1.5058322706803928
249,Cepa 21,Horcajo,2015.0,4.6,100,Ribera del Duero,75.3,41.66575665,-3.686329463971761
250,Carmelo Rodero,Pago De Valtarrena,2018.0,4.6,99,Ribera del Duero,47.5,41.66575665,-3.686329463971761
251,Vega Sicilia,Unico,2012.0,4.6,98,Ribera del Duero,359.9,41.66575665,-3.686329463971761
252,Bodegas Vilano,Tinto,2019.0,4.6,97,Ribera del Duero,43.5,41.66575665,-3.686329463971761
253,Allende,Aurus,2005.0,4.6,95,Rioja,136.0,42.2814642,-2.482804975070473
254,Costers del Siurana,Dolc de L'Obac,2006.0,4.6,94,Priorato,117.239420060872,44.8741121,10.1628956
255,Pago de Los Capellanes,Parcela El Picon Tinto,2011.0,4.6,93,Ribera del Duero,135.0,41.66575665,-3.686329463971761
256,Remirez de Ganuza,Trasnocho,2013.0,4.6,91,Rioja,82.5,42.2814642,-2.482804975070473
257,Bodegas Roda,Cirsion Rioja,2017.0,4.6,90,Rioja,149.9,42.2814642,-2.482804975070473
258,Teso La Monja,Tinto,2008.0,4.6,87,Toro,1260.0,41.5216963,-5.3939824
259,Pago de Los Capellanes,Doroteo Edicion Especial 25 Aniversario,2015.0,4.6,86,Ribera del Duero,59.0,41.66575665,-3.686329463971761
260,Bodegas Valduero,Tierra Alta de 2 Racimos Gran Reserva,2011.0,4.6,85,Ribera del Duero,82.5,41.66575665,-3.686329463971761
261,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2011.0,4.6,85,Rioja,195.0,42.2814642,-2.482804975070473
263,Arzuaga,Reserva Especial Ribera del Duero,2016.0,4.6,83,Ribera del Duero,54.5,41.66575665,-3.686329463971761
264,Hacienda Monasterio,Reserva Especial,2015.0,4.6,80,Ribera del Duero,79.1,41.66575665,-3.686329463971761
265,Mas d'en Gil,Gran Buig Priorat,2004.0,4.6,79,Priorato,272.0,44.8741121,10.1628956
266,Castillo Perelada,Finca Garbet,2014.0,4.6,75,Emporda,99.0,42.1893929,3.077661284375413
268,Emilio Moro,Clon De La Familia,2011.0,4.6,72,Ribera del Duero,317.63,41.66575665,-3.686329463971761
269,Sierra Cantabria,Amancio,2007.0,4.6,70,Rioja,399.6,42.2814642,-2.482804975070473
271,Recaredo,Reserva Particular de Recaredo Brut Nature,2008.0,4.6,69,Cava,74.9,42.31658175,1.6111496867672197
272,Clos Erasmus,Priorat,2008.0,4.6,66,Priorato,654.31,44.8741121,10.1628956
275,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2001.0,4.6,65,Priorato,945.0,44.8741121,10.1628956
276,Hacienda Monasterio,Reserva,2017.0,4.6,64,Ribera del Duero,50.0,41.66575665,-3.686329463971761
277,Ysios,Finca Las Naves,2016.0,4.6,63,Rioja,126.64,42.2814642,-2.482804975070473
279,Contino,Vina del Olivo,2001.0,4.6,60,Rioja,81.0,42.2814642,-2.482804975070473
281,Marques de Murrieta,Dalmau Rioja,2001.0,4.6,59,Rioja,121.0,42.2814642,-2.482804975070473
282,Alvaro Palacios,Les Aubaguetes Priorat,2016.0,4.6,59,Priorato,355.95,44.8741121,10.1628956
283,Gramona,Cava Enoteca Finca La Plana Brut Nature,2001.0,4.6,58,Cava,164.66,42.31658175,1.6111496867672197
284,Alto Moncayo,Aquilon Garnacha,2016.0,4.6,58,Campo de Borja,120.9,41.78654145,-1.5058322706803928
285,Dominio del Aguila,Gran Reserva Penas Aladas,2014.0,4.6,58,Ribera del Duero,218.9,41.66575665,-3.686329463971761
286,Hacienda Solano,Pena Lobera,2016.0,4.6,57,Ribera del Duero,65.95,41.66575665,-3.686329463971761
287,Bodegas Mas Alta,La Creu Alta,2014.0,4.6,53,Priorato,86.0,44.8741121,10.1628956
288,Francisco Garcia Perez,Adega do Moucho Treixadura,2017.0,4.6,53,Ribeiro,34.5,42.31990645,-8.152266856014716
289,Anima Negra,Son Negre,2007.0,4.6,51,Mallorca,282.65,39.613432,2.880353635614984
290,Mas Doix,1902 Centenary Carignan Priorat,2017.0,4.6,51,Priorato,259.9,44.8741121,10.1628956
292,Castano,Casa Cisca Monastrell,2016.0,4.6,49,Yecla,35.0,38.613652,-1.1157373
293,Descendientes de J. Palacios,Moncerbal Bierzo (Corullon),2016.0,4.6,48,Bierzo,269.95,42.65265025,-6.62318404217132
294,La Legua,Capricho,2014.0,4.6,47,Cigales,27.2693427,41.7582863,-4.6989785
295,Dominio de Pingus,Pingus,2018.0,4.6,47,Ribera del Duero,1250.0,41.66575665,-3.686329463971761
296,Castillo de Cuzcurrita,Cerrado del Castillo Rioja,2016.0,4.6,47,Rioja,52.95,42.2814642,-2.482804975070473
297,Oxer Wines,Kalamity Rioja,2018.0,4.6,46,Rioja,114.95,42.2814642,-2.482804975070473
300,Bodegas 6o Elemento - Vino Sexto Elemento,Respeto,2015.0,4.6,45,Utiel-Requena,29.35,39.4880777,-1.1001643
301,Proyecto Garnachas de Espana,El Garnacho Viejo de la Familia Acha,2014.0,4.6,45,Rioja,79.9,42.2814642,-2.482804975070473
302,Matarromera,Ribera del Duero Prestigio,2016.0,4.6,45,Ribera del Duero,53.95,41.66575665,-3.686329463971761
303,Casal de Arman,Finca Misenhora Edicion Limitada,2018.0,4.6,44,Ribeiro,26.2,42.31990645,-8.152266856014716
304,Mas Doix,1902 Centenary Carignan Priorat,2016.0,4.6,43,Priorato,270.44,44.8741121,10.1628956
305,Artadi,La Poza de Ballesteros,2009.0,4.6,42,Vino de Espana,187.5,42.1771554,-8.4341104
307,Hacienda Monasterio,Reserva Especial,2016.0,4.6,41,Ribera del Duero,85.63,41.66575665,-3.686329463971761
308,Artadi,Vina El Pison,2017.0,4.6,41,Vino de Espana,304.54,42.1771554,-8.4341104
309,Vall Llach,Idus,2020.0,4.6,41,Priorato,34.3,44.8741121,10.1628956
310,Clos Erasmus,Priorat,2003.0,4.6,41,Priorato,993.28,44.8741121,10.1628956
311,Sierra Cantabria,Amancio,2017.0,4.6,40,Rioja,85.95,42.2814642,-2.482804975070473
312,Pago de Larrainzar,Rosado de Larrainzar,2020.0,4.6,39,Navarra,12.0,42.61254875,-1.830787673361753
